GP_PRACTICE_CODE,POSTCODE,CCG_CODE,NHSE_AREA_TEAM_CODE,NHSE_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALES,ORG_NAME
A81610,TS23 2DG,00K,Q45,Y54,8333,4013,4320,THE ROSEBERRY PRACTICE
A81611,TS8 0TL,00M,Q45,Y54,4997,2453,2544,PARKWAY MEDICAL CENTRE
A81612,TS25 1AX,00K,Q45,Y54,2969,1499,1470,THE PATEL PRACTICE
A81613,TS26 8DB,00K,Q45,Y54,3351,1670,1681,JOURNEE MEDICAL PRACTICE
A81618,TS12 1BJ,00M,Q45,Y54,7545,3683,3862,HUNTCLIFF SURGERY
A81621,TS3 9NB,00M,Q45,Y54,2266,1138,1128,THORNTREE SURGERY
A81622,TS26 8DD,00K,Q45,Y54,5173,2620,2553,GLADSTONE HOUSE SURGERY
A81623,TS18 2EP,00K,Q45,Y54,1620,868,752,NORTH SHORE MEDICAL PRACTICE
A81629,TS18 2AP,00K,Q45,Y54,3870,2005,1865,RIVERSIDE MEDICAL PRACTICE
A81630,TS5 4EQ,00M,Q45,Y54,740,552,188,FULCRUM MEDICAL PRACTICE
A81631,TS24 9LJ,00K,Q45,Y54,6375,3123,3252,WEST VIEW MILLENIUM SURGERY A
A81632,TS18 1HU,00K,Q45,Y54,708,556,152,LAWSON STREET PRACTICE
A81633,TS1 5EF,00M,Q45,Y54,633,397,236,HAVEN MEDICAL PRACTICE
A81634,TS18 2EP,00K,Q45,Y54,1347,801,546,THE ARRIVAL PRACTICE
A82003,LA12 7BT,01H,Q49,Y54,10625,5249,5376,ULVERSTON HEALTH CENTRE (MURRAY)
A82004,CA9 3QX,01H,Q49,Y54,2327,1161,1166,ALSTON MEDICAL PRACTICE
A82005,LA22 9BP,01H,Q49,Y54,5082,2632,2450,AMBLESIDE HEALTH CENTRE
A82006,CA16 6QR,01H,Q49,Y54,4847,2421,2426,APPLEBY MEDICAL PRACTICE
A82007,LA14 1LF,01H,Q49,Y54,9371,4708,4663,DUKE STREET SURGERY
A82008,LA14 5ES,01H,Q49,Y54,11089,5533,5556,NORWOOD MEDICAL CENTRE
A82009,LA13 9SH,01H,Q49,Y54,8773,4293,4480,BRIDGEGATE MEDICAL CENTRE
A82010,LA14 5JY,01H,Q49,Y54,6511,3109,3402,ABBEY ROAD SURGERY
A82011,LA14 5SL,01H,Q49,Y54,2645,1363,1282,HARTINGTON STREET MEDICAL PRACTICE
A82012,CA8 1NL,01H,Q49,Y54,15237,7465,7772,BRAMPTON MEDICAL PRACTICE
A82013,CA17 4RB,01H,Q49,Y54,6688,3350,3338,UPPER EDEN MEDICAL PRACTICE
A82014,CA7 8DS,01H,Q49,Y54,4337,2189,2148,CALDBECK SURGERY
A82015,CA1 1EB,01H,Q49,Y54,5938,3078,2860,WARWICK ROAD SURGERY
A82016,CA1 1DG,01H,Q49,Y54,14376,7144,7232,ST PAUL'S MEDICAL PRACTICE
A82017,CA1 1ED,01H,Q49,Y54,14678,7213,7465,BRUNSWICK HOUSE MEDICAL GROUP
A82018,CA1 1BP,01H,Q49,Y54,11676,5721,5955,SPENCER ST SURGERY
A82019,CA1 2HE,01H,Q49,Y54,8203,3842,4361,FUSEHILL MEDICAL PRACTICE
A82020,CA2 7AJ,01H,Q49,Y54,14615,7105,7510,EDEN MEDICAL GROUP
A82021,CA13 9HT,01H,Q49,Y54,10426,5156,5270,CASTLEGATE SURGERY
A82022,CA5 7PZ,01H,Q49,Y54,5095,2602,2493,DALSTON MEDICAL GROUP
A82023,CA14 5UR,01H,Q49,Y54,3808,1907,1901,DISTINGTON SURGERY
A82024,CA20 1PN,01H,Q49,Y54,5619,2835,2784,SEASCALE HEALTH CENTRE
A82025,LA9 4JE,01H,Q49,Y54,9299,4605,4694,CAPTAIN FRENCH SURGERY
A82026,LA9 7HR,01H,Q49,Y54,16076,7764,8312,THE JAMES COCHRANE PRACT.
A82027,LA9 6SA,01H,Q49,Y54,11062,5508,5554,STATION HOUSE SURGERY
A82028,CA12 4DB,01H,Q49,Y54,6464,3170,3294,CASTLEHEAD MEDICAL CENTRE
A82029,CA7 5JH,01H,Q49,Y54,3361,1696,1665,THE CROFT SURGERY
A82030,LA6 2HQ,01H,Q49,Y54,5950,2888,3062,LUNESDALE SURGERY
A82031,CA10 3LW,01H,Q49,Y54,2822,1438,1384,SHAP MEDICAL PRACTICE
A82032,CA15 8EL,01H,Q49,Y54,13688,6807,6881,MARYPORT HEALTH SERVICES
A82033,LA28 4BY,01H,Q49,Y54,8442,4203,4239,WATERLOO HOUSE SURGERY
A82034,LA7 7PW,01H,Q49,Y54,6651,3260,3391,STONELEIGH SURGERY
A82035,CA11 8HW,01H,Q49,Y54,15882,7868,8014,BIRBECK MEDICAL GROUP
A82036,CA11 8HW,01H,Q49,Y54,9105,4526,4579,THE LAKES MEDICAL PRACTICE
A82037,CA7 4AH,01H,Q49,Y54,4240,2104,2136,SILLOTH GROUP MEDICAL PRACTICE
A82038,CA10 1RW,01H,Q49,Y54,4477,2237,2240,TEMPLE SOWERBY MEDICAL PRACTICE
A82039,LA15 8AB,01H,Q49,Y54,7559,3695,3864,DALTON SURGERY
A82040,CA28 7PD,01H,Q49,Y54,2713,1411,1302,CATHERINE STREET SURGERY
A82041,CA28 7RG,01H,Q49,Y54,10786,5406,5380,LOWTHER MEDICAL CENTRE
A82044,CA22 2BD,01H,Q49,Y54,22125,11120,11005,FELLVIEW HEALTHCARE LTD
A82045,CA7 9QD,01H,Q49,Y54,8123,3960,4163,WIGTON GROUP MEDICAL PRACTICE
A82046,LA23 2EG,01H,Q49,Y54,5746,2919,2827,WINDERMERE HEALTH CENTRE
A82047,CA14 2DL,01H,Q49,Y54,9018,4480,4538,JAMES STREET GROUP PRACT
A82048,CA14 3FT,01H,Q49,Y54,6654,3272,3382,BEECHWOOD GROUP PRACTICE
A82049,CA14 2ED,01H,Q49,Y54,5302,2702,2600,ORCHARD HOUSE SURGERY
A82050,CA14 2AJ,01H,Q49,Y54,7107,3517,3590,OXFORD STREET SURGERY
A82052,CA3 9JZ,01H,Q49,Y54,7344,3520,3824,NORTH CARLISLE MEDICAL PRACTICE
A82053,LA11 7DJ,01H,Q49,Y54,4691,2235,2456,NUTWOOD MEDICAL PRACTICE
A82055,CA7 3HH,01H,Q49,Y54,7028,3496,3532,ASPATRIA MEDICAL GROUP
A82057,CA13 0HZ,01H,Q49,Y54,6662,3259,3403,DERWENT HOUSE SURGERY
A82058,CA28 7BA,01H,Q49,Y54,4070,2032,2038,IRONSIDE'S FAMILY PRACTITIONERS
A82060,CA28 7BU,01H,Q49,Y54,1806,1018,788,TRINITY HOUSE SURGERY
A82062,LA14 2LR,01H,Q49,Y54,4823,2527,2296,ATKINSON HEALTH CENTRE (WIEJAK)
A82063,CA12 5JY,01H,Q49,Y54,1767,914,853,BANK STREET SURGERY
A82064,CA22 2DB,01H,Q49,Y54,4623,2342,2281,WESTCROFT HOUSE SURGERY
A82065,LA11 7JY,01H,Q49,Y54,2962,1452,1510,PENINSULA MEDICAL PRACTICE
A82068,LA12 7BT,01H,Q49,Y54,3963,1981,1982,ULVERSTON HEALTH CENTRE (HAMBLY)
A82070,LA23 1BA,01H,Q49,Y54,6027,2988,3039,ST.MARY'S SURGERY
A82071,LA14 3HY,01H,Q49,Y54,4331,2240,2091,BURNETT EDGAR MEDICAL CTR
A82072,LA13 9RX,01H,Q49,Y54,4543,2311,2232,RISEDALE SURGERY
A82074,LA5 0DP,01H,Q49,Y54,2410,1160,1250,ARNSIDE SURGERY
A82075,CA28 7BU,01H,Q49,Y54,6446,3119,3327,MANSION HOUSE SURGERY
A82077,LA13 9QY,01H,Q49,Y54,5290,2536,2754,LIVERPOOL HOUSE SURGERY
A82608,LA10 5DL,01H,Q49,Y54,4107,2085,2022,SEDBERGH HEALTH CENTRE (LUMB)
A82613,LA21 8ER,01H,Q49,Y54,957,490,467,WRAYSDALE HOUSE SURGERY
A82617,CA10 1DQ,01H,Q49,Y54,2311,1163,1148,KIRKOSWALD SURGERY
A82619,LA15 8AF,01H,Q49,Y54,1634,754,880,NELSON STREET SURGERY
A82620,CA11 0PD,01H,Q49,Y54,734,395,339,GLENRIDDING HEALTH CENTRE
A82621,LA16 7JP,01H,Q49,Y54,1589,878,711,ASKAM SURGERY
A82623,CA14 2RW,01H,Q49,Y54,5480,2744,2736,SOLWAY HEALTH SERVICES
A82629,LA14 5SL,01H,Q49,Y54,3784,2078,1706,THE FAMILY PRACTICE
A82631,CA4 0HP,01H,Q49,Y54,2942,1438,1504,COURT THORN SURGERY
A82635,CA1 1LB,01H,Q49,Y54,2014,1021,993,GROSVENOR HOUSE SURGERY (W)
A82641,CA1 1LB,01H,Q49,Y54,1974,1003,971,GROSVENOR HOUSE SURGERY (F)
A82642,LA22 0NU,01H,Q49,Y54,1181,578,603,HAWKSHEAD MEDICAL PRACTICE
A82646,CA6 5XA,01H,Q49,Y54,3525,1826,1699,LONGTOWN MEDICAL CENTRE
A82647,LA11 6PH,01H,Q49,Y54,2379,1169,1210,CARTMEL SURGERY
A82650,LA12 8QF,01H,Q49,Y54,2726,1397,1329,HAVERTHWAITE SURGERY
A82651,LA17 7TE,01H,Q49,Y54,3356,1689,1667,DUDDON VALLEY MEDICAL PRACTICE
A82654,CA1 1LB,01H,Q49,Y54,4017,2052,1965,GROSVENOR HOUSE SURGERY (A)
A83001,DL16 6QA,00D,Q45,Y54,10239,5010,5229,ST ANDREW'S MEDICAL PRACTICE
A83003,DL15 0EQ,00D,Q45,Y54,9136,4558,4578,WILLINGTON MEDICAL GROUP
A83004,SR7 8LF,00D,Q45,Y54,3700,1917,1783,DR. K R KAPOOR & PARTNER
A83005,DL1 3RT,00C,Q45,Y54,11433,5485,5948,WHINFIELD MEDICAL PRACTICE
A83006,DL3 6HZ,00C,Q45,Y54,7736,3908,3828,ORCHARD COURT SURGERY
A83007,TS27 4LQ,00D,Q45,Y54,9366,4577,4789,DR. P. BURRELL & PARTNERS
A83008,DL4 2HP,00D,Q45,Y54,5540,2769,2771,HALLGARTH SURGERY
A83009,DH3 3SL,00J,Q45,Y54,8835,4312,4523,BRIDGE END SURGERY
A83010,DL3 9JP,00C,Q45,Y54,14600,7154,7446,MOORLANDS SURGERY
A83011,DH1 1QW,00J,Q45,Y54,24832,12478,12354,CLAYPATH & UNIVERSITY MEDICAL GROUP
A83012,SR8 5TW,00D,Q45,Y54,15172,7432,7740,WILLIAM BROWN CENTRE
A83013,DL1 4YL,00C,Q45,Y54,11050,5452,5598,NEASHAM ROAD SURGERY
A83014,DH1 2QW,00J,Q45,Y54,7931,3942,3989,BELMONT & SHERBURN MEDICAL GROUP
A83015,DL14 6AB,00D,Q45,Y54,10358,5060,5298,STATION VIEW MEDICAL CENTRE
A83016,DH9 8AD,00J,Q45,Y54,11624,5755,5869,TANFIELD VIEW MEDICAL GROUP
A83017,DH6 3HW,00D,Q45,Y54,7488,3792,3696,DR NAING & PARTNERS
A83018,DH8 5YA,00J,Q45,Y54,19399,9633,9766,CONSETT MEDICAL CENTRE
A83019,DH6 2JL,00D,Q45,Y54,5148,2567,2581,DR. R.G. ABBOTT AND DR. PATEL
A83020,DL15 9HU,00D,Q45,Y54,13523,6659,6864,NORTH HOUSE SURGERY
A83021,DL14 6BB,00D,Q45,Y54,13566,6673,6893,AUCKLAND MEDICAL GROUP
A83022,DH7 8NH,00J,Q45,Y54,23731,11771,11960,THE MEDICAL GROUP
A83023,DH9 0AB,00J,Q45,Y54,10797,5439,5358,STANLEY MEDICAL GROUP
A83024,DH4 6RQ,00J,Q45,Y54,5825,2884,2941,WEST RAINTON SURGERY
A83025,DL14 7EJ,00D,Q45,Y54,13748,6765,6983,BISHOPGATE MEDICAL CENTRE
A83026,DH7 6JW,00J,Q45,Y54,9734,4881,4853,SACRISTON MEDICAL CENTRE
A83027,DH6 4DH,00J,Q45,Y54,6171,3011,3160,COXHOE MEDICAL PRACTICE
A83028,DH3 3QD,00J,Q45,Y54,10064,4975,5089,GROUP PRACTICE SURGERY
A83029,DH3 4LE,00J,Q45,Y54,4843,2328,2515,THE SURGERY GREAT LUMLEY
A83030,DH7 7DG,00J,Q45,Y54,12029,5968,6061,DUNELM MEDICAL PRACTICE
A83031,DL3 8SQ,00C,Q45,Y54,10093,5045,5048,CARMEL MEDICAL PRACTICE
A83032,DL13 5AF,00D,Q45,Y54,2450,1193,1257,COCKFIELD SURGERY
A83033,DH2 1HS,00J,Q45,Y54,8694,4339,4355,DR TYSON AND PARTNERS
A83034,DL3 7JR,00C,Q45,Y54,10068,4909,5159,BLACKETTS MEDICAL PRACTICE
A83035,DL13 2XD,00D,Q45,Y54,7143,3548,3595,THE WEARDALE PRACTICE
A83036,DH1 5BH,00J,Q45,Y54,11619,5579,6040,CHASTLETON MEDICAL GROUP
A83037,DL5 5LH,00D,Q45,Y54,13827,6769,7058,BEWICK CRESCENT SURGERY
A83038,NE16 6HU,00J,Q45,Y54,5829,2757,3072,CEDARS MEDICAL GROUP
A83040,DL1 5JN,00C,Q45,Y54,11834,5827,6007,CLIFTON COURT MEDICAL PRACTICE
A83041,SR7 9AB,00D,Q45,Y54,7698,3774,3924,DR D S RANGAR & PARTNERS
A83042,TS28 5PZ,00D,Q45,Y54,5026,2466,2560,DR SIMPSON & PARTNERS
A83043,DL12 0QE,00D,Q45,Y54,2706,1371,1335,OLD FORGE SURGERY
A83044,SR8 4QP,00D,Q45,Y54,6993,3415,3578,THE HORDEN GROUP PRACTICE
A83045,DL17 8JJ,00D,Q45,Y54,15038,7470,7568,DR.OAKENFULL & PARTNERS
A83046,DL12 8HT,00D,Q45,Y54,10359,5086,5273,BARNARD CASTLE SURGERY
A83047,DL3 0PD,00C,Q45,Y54,13971,6844,7127,DENMARK STREET SURGERY
A83048,DL2 2DS,00C,Q45,Y54,5515,2716,2799,ROCKLIFFE COURT SURGERY
A83049,DH8 0BW,00J,Q45,Y54,12696,6211,6485,QUEENS ROAD SURGERY
A83050,DH2 3DJ,00J,Q45,Y54,11750,5754,5996,CESTRIA HEALTH CENTRE
A83051,SR7 7JE,00D,Q45,Y54,10219,5032,5187,MARLBOROUGH SURGERY
A83052,DL16 6ED,00D,Q45,Y54,8921,4493,4428,DR.WOOD & PARTNERS
A83054,TS21 3BN,00D,Q45,Y54,15486,7672,7814,DR.JONES & PARTNERS
A83055,DH1 2UW,00J,Q45,Y54,3840,1824,2016,CHEVELEY PARK MEDICAL CTR
A83057,SR8 4LD,00D,Q45,Y54,5565,2817,2748,SHINWELL MEDICAL GROUP
A83060,DL13 5NX,00D,Q45,Y54,3071,1536,1535,PINFOLD MEDICAL PRACTICE
A83061,DL2 3BE,00D,Q45,Y54,3312,1645,1667,GAINFORD SURGERY
A83066,DL5 4SE,00D,Q45,Y54,8614,4450,4164,JUBILEE MEDICAL GROUP
A83068,SR8 4PF,00D,Q45,Y54,1696,895,801,JUPITER HOUSE
A83070,DL2 1AA,00C,Q45,Y54,5603,2785,2818,FELIX HOUSE SURGERY
A83071,SR7 7JE,00D,Q45,Y54,5110,2458,2652,THE NEW SEAHAM MEDICAL GROUP
A83072,DH7 0PE,00J,Q45,Y54,3865,1881,1984,PARK HOUSE SURGERY
A83073,DH9 7XT,00J,Q45,Y54,4992,2443,2549,DRS LAMBERT & NG
A83074,DL5 5NH,00D,Q45,Y54,11357,5663,5694,PEASEWAY MEDICAL CENTRE
A83075,SR7 8LF,00D,Q45,Y54,4705,2412,2293,DR KV REDDY
A83076,DH9 9DA,00J,Q45,Y54,2695,1352,1343,DIPTON SURGERY
A83603,DL16 6BQ,00D,Q45,Y54,2766,1400,1366,DR.ROY
A83610,TS28 5PZ,00D,Q45,Y54,2745,1414,1331,WINGATE MEDICAL PRACTICE INTRAHEALTH
A83616,DH6 2LQ,00D,Q45,Y54,2313,1213,1100,DR M D RAMAKRISHNA GUPTA
A83617,DH7 9YT,00J,Q45,Y54,2734,1320,1414,BROWNEY HOUSE SURGERY
A83618,NE17 7SB,00J,Q45,Y54,4002,1947,2055,OAKFIELDS HEALTH CENTRE
A83619,DH6 2LT,00D,Q45,Y54,2765,1503,1262,DR. S H S MANSOUR
A83622,DH7 0BD,00J,Q45,Y54,1708,846,862,THE HAVEN SURGERY
A83626,DL14 9SU,00D,Q45,Y54,1996,1014,982,EVENWOOD MEDICAL PRACTICE
A83627,DH6 2TH,00D,Q45,Y54,4507,2259,2248,SILVERDALE FAMILY PRACTICE
A83630,DH7 8SJ,00J,Q45,Y54,2387,1209,1178,DENHOLM HOUSE
A83632,DH9 6AN,00J,Q45,Y54,2630,1393,1237,CRAGHEAD MEDICAL CENTRE
A83634,DL17 9LH,00D,Q45,Y54,2644,1318,1326,WEST CORNFORTH MEDICAL CENTRE
A83635,DH6 5AL,00J,Q45,Y54,3702,1807,1895,BOWBURN MEDICAL CENTRE
A83636,DH8 6DP,00J,Q45,Y54,5708,2760,2948,LEADGATE SURGERY
A83637,DH2 2NJ,00J,Q45,Y54,1988,1016,972,PELTON FELL SURGERY
A83638,DL4 1DU,00D,Q45,Y54,1432,701,731,DR.BALIGA
A83641,DL1 5LW,00C,Q45,Y54,4733,2561,2172,PARKGATE SURGERY
A83644,DH9 7TD,00J,Q45,Y54,3323,1727,1596,ANNFIELD PLAIN SURGERY
A84002,NE65 7UW,00L,Q49,Y54,5300,2582,2718,THE ROTHBURY PRACTICE
A84003,NE63 9UT,00L,Q49,Y54,13202,6469,6733,LINTONVILLE MEDICAL GROUP
A84005,NE22 6JX,00L,Q49,Y54,10970,5320,5650,BEDLINGTONSHIRE MED.GROUP
A84006,NE66 2NL,00L,Q49,Y54,8909,4238,4671,THE BONDGATE SURGERY
A84007,NE20 9SD,00L,Q49,Y54,10846,5371,5475,PONTELAND MEDICAL GROUP
A84008,NE70 7ER,00L,Q49,Y54,4546,2209,2337,BELFORD MEDICAL PRACTICE
A84009,NE24 1DX,00L,Q49,Y54,13950,6920,7030,WATERLOO MEDICAL GROUP
A84011,NE20 9SD,00L,Q49,Y54,7080,3420,3660,WHITE MEDICAL GROUP
A84013,NE22 7DU,00L,Q49,Y54,6268,3089,3179,THE GABLES MEDICAL GROUP
A84014,NE24 1DX,00L,Q49,Y54,10479,5153,5326,MARINE MEDICAL GROUP
A84015,NE63 0XX,00L,Q49,Y54,2284,1217,1067,LABURNUM SURGERY
A84016,NE42 5PW,00L,Q49,Y54,6666,3228,3438,PRUDHOE MEDICAL GROUP
A84018,NE45 5LG,00L,Q49,Y54,6845,3329,3516,CORBRIDGE HEALTH CENTRE
A84020,NE62 5RA,00L,Q49,Y54,8501,4265,4236,GUIDEPOST MEDICAL GROUP
A84021,NE66 2NR,00L,Q49,Y54,9566,4701,4865,INFIRMARY DRIVE MEDICAL GROUP
A84022,NE65 0HD,00L,Q49,Y54,11294,5590,5704,COQUET MEDICAL GROUP
A84024,NE46 1QJ,00L,Q49,Y54,8902,4261,4641,BURN BRAE MEDICAL GROUP
A84025,NE23 6QN,00L,Q49,Y54,5574,2862,2712,CRAMLINGTON MEDICAL GROUP
A84026,TD15 1LL,00L,Q49,Y54,9346,4525,4821,WELL CLOSE MEDICAL GROUP
A84027,NE48 2HE,00L,Q49,Y54,3247,1611,1636,BELLINGHAM PRACTICE
A84028,NE63 0NG,00L,Q49,Y54,19053,9423,9630,SEATON PARK MEDICAL GROUP
A84029,NE61 5LX,00L,Q49,Y54,2831,1421,1410,WIDDRINGTON SURGERY
A84030,NE23 6US,00L,Q49,Y54,9185,4477,4708,VILLAGE MEDICAL GROUP
A84031,NE61 1JX,00L,Q49,Y54,9045,4388,4657,GREYSTOKE SURGERY
A84032,NE71 6BL,00L,Q49,Y54,2445,1182,1263,CHEVIOT MEDICAL GROUP
A84033,NE46 1QJ,00L,Q49,Y54,6079,2953,3126,THE SELE MEDICAL PRACTICE
A84034,NE49 9AP,00L,Q49,Y54,5702,2825,2877,HALTWHISTLE MEDICAL GROUP
A84035,NE41 8DH,00L,Q49,Y54,5821,2847,2974,RIVERSDALE SURGERY
A84036,NE61 1BJ,00L,Q49,Y54,17600,8578,9022,WELLWAY MEDICAL GROUP
A84037,NE23 7EF,00L,Q49,Y54,5629,2794,2835,NETHERFIELD HOUSE
A84038,NE23 6QN,00L,Q49,Y54,5913,2812,3101,FORUM FAMILY PRACTICE
A84039,NE61 1JX,00L,Q49,Y54,5106,2503,2603,GAS HOUSE LANE SURGERY
A84040,NE46 4BU,00L,Q49,Y54,3664,1835,1829,HUMSHAUGH & WARK MED GRP
A84042,NE61 4EG,00L,Q49,Y54,1865,935,930,SCOTS GAP MEDICAL GROUP
A84043,NE23 1XZ,00L,Q49,Y54,17002,8344,8658,BROCKWELL MEDICAL GROUP
A84044,TD15 2HB,00L,Q49,Y54,6841,3301,3540,UNION BRAE & NORHAM PRAC
A84045,NE47 6LA,00L,Q49,Y54,5512,2722,2790,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT
A84047,NE43 7LL,00L,Q49,Y54,5473,2659,2814,BRANCH END SURGERY
A84048,NE24 1HD,00L,Q49,Y54,8806,4185,4621,STATION MEDICAL GROUP
A84604,NE71 6BL,00L,Q49,Y54,1935,967,968,THE GLENDALE SURGERY
A84609,NE65 9PR,00L,Q49,Y54,1660,829,831,MIDDLE FARM SURGERY
